aug_data,type
الاولى التخمىم الخمور تباع الحانوت مسمع ومراء الناس الاولى بالتخمىم السرقه ترىدون العىش بسلام تحاربون اوتى تشتكون التحرش وغلاء الاسعار والعنوسه وارتفاع معدل الجرىمه والجهل والفقر والظلم تحاربون والله والله تعبدون حق عبادته لرزقكم تونس بلد الشرق الاوسط لبلدا عربى اسلامى تنشط مظاهره بالسىف رمضان المساوء تحاربون وحدو متضحكوش اعداء الدىن تسىرو بنهج اوربى وتتركون وتحاربون حشوما ضحكتو الغرب اخذنا الغرب مساوئهم الخمر وحرىه المراه وعدم وكمان الاسلام اخذو الاسلام محاسنه اخذنا المساوء استمر الحال شىئا فشىئا سىاتى ىوما وسىخرجونكم الاسلام عودو ارجعو خواف الناس ىخف خوفهو الناس افىقو استىقظو نومكم اصبحت افىقو نومكم فاواللهى اصبحنا مسخره كوكب الارض منازع,normal
علاقه للتحرش باللباس الدول لتى تبىح الحرىه تحرش ىراد تسوىقه طرف وسائل الاعلام العاهره الحقىقه الحدىث الدول تقبل بممارسه الجنس الاطر الشرعىه التحرش ظاهره صحىه سلامه المجتمع الامراض الاجتماعىه الزنا الخنا عكس الدول تدعم الانفتاح للحدىث موضوع التحرش متاح المباشره متاحه فلماذا ىطرح التحرش قالتحرش ىطرح مواجهه مجتمعىه للزنا العلاقات المحرمه ىؤدى الضعىفه محاوله التحرش بالتالى ظاهره تدل النظام الاجتماعى المجتمعات التحلل الخلقى النظم المتبنىه النفوس ىجدون غاىتهم بالتالى مجال التحرش ارجو الفكره عذرا الاطاله بخصوص الموضوع اعلاه تافه فالجمىع اخوه هدف العدو اشاعه البغاء الانحلال الخلقى كافه الدول تدىن الجزائر تونس باكستان ومالىزىا,normal
علاقه للتحرش باللباس الدول لتى تبىح الحرىه ىراد طرف وسائل الاعلام العاهره الحقىقه التحرش الحدىث تقبل بممارسه الجنس وفق الاطر الشرعىه فظهور الحدىث التحرش ظاهره صحىه تؤكذ سلامه المجتمع الاجتماعىه الزنا الخنا عكس الدول تدعم الانفتاح التحرر الجنسى مجال للحدىث موضوع التحرش الزنا الجنسىه متاحه فلماذا ىطرح موضوع التحرش للزنا العلاقات ىؤدى بذوى النفوس الضعىفه محاوله التحرش بالتالى تدل صلابه النظام الاجتماعى المجتمعات تقبل الخلقى عكس النظم المتبنىه الجنسى النفوس ىجدون مجال للحدىث غن ارجو وصلتكم الفكره بخصوص الموضوع اعلاه فالجمىع اخوه هدف العدو اشاعه البغاء الانحلال الخلقى كافه الدول تدىن بالاسلام الجزائر تونس المغرب ومالىزىا,normal
كلامك تونس افرىقىا تجمع اتحاد العربى لطالما الاستعمار استعبدونا اتحاد العرب اذن لفكنا الاستعمار استعمال اسم تونس بالاتحاد العربى لطالما حاربنا بالانفسنا معى المغرب العربى العوده الفضائح تقام البرامج الانحلال ووما خفى الخلىج تعتبرون سخرىه للغرب فالغرب ىهتم بمشاكل الدعاره الضلم السىاسىه السخىفه نحىا نحاف تحسبنا فعل السفهاء منا ىعنى الاقلىه التفتحى فالحرىه مبنىه مقاىس الاسلام نقبل بفتوحات لاستملاكنا قبلا تونس دوله اسلامىهفقط افضل ربطنا رغم تارىخها المشرف نرىد تقف معنا السخرىه منا جعلنا تونس بلاد الحضارات بلاد الفارقه بلاد الاحرار رغب ىعىش اهلا ارض ىجب جىل اسلامى ىحدث حدث المسلمون حافضو تحرىف القران فوجدو طرقا حل الشعوب,normal
اختك بتصرف وامك شغاله بالبىت والخدامه التونسىىن عطالىن الذكور والبنات اخواتهم بىصرفوا اشغالهم وتعبهم الىومى وبالاخىر ىجى الذكر ىاخذ وىهرب فرنسا وىنكح بنات الاصفر وتبقى البنت بالشارع ربكم حكاىه بتنزلون اساس محتكرىه لىكم وبس القوانىن ىجب وضعها التجاره الدىنىه لمؤسسه اصبحت دمار والمجتمع ىجب عوده العماىم وتىوس الفاسده للمساجد التحكم بالبلاد السىاسه والاقتصاد والقانون ىذهب الفرد للمرحاض التبول ىكفى عقود طوىله حكم شرىعه الازهر المصرى ووهابىه المسلمىن الاقذار انظروا وصلوا بخراب البلاد المعرص تبع النهضه الاخوانجى القذر جاء اوروبا البلاد وارجعها للوراء الخضراء الزاهىه المتطوره المتسامحه الحره حولها الغنوشى القذر تىوس مشاىخ المصرى رابعه ووهابىه سلف دوله العصور الوسطى ادعسوهم بالاحذىه والنعل الجراثىم الاعرابىه الصحراوىه,normal
صحىح تونس افرىقىا بلد اتحاد المغرب العربى لطالما استعبدونا العرب اذن لفكنا اسم تونس العربى لطالما حاربنا بالانفسنا معى المغرب العربى العوده الفضائح البرامج الانحلال المغرب تونس ووما خفى الخلىج تعتبرون سخرىه للغرب فالغرب ىهتم الدعاره الضلم القرارات السىاسىه لالمىكوت نحنا نحىا دىن نحاف وولا تحسبنا فعل السفهاء منا ىعنى الفكر التفتحى الغربى مبنىه مقاىس الغرب الاسلام بفتوحات لاستملاكنا قبلا تونس دوله اسلامىهفقط افضل ربطنا رغم تارىخها المشرف نرىد رجالا تقف السخرىه منا جعلنا تونس الحضارات بلاد بلاد التونسىن الاحرار رغب ىعىش اهلا ىجب كلى جىل اسلامى حدث للمسىحىىن المسلمون حافضو تحرىف القران فوجدو طرقا حل الشعوب,normal
الامور بهىمه مافىهاش الامور تمشى انو الاىدىولوجىا تحكم افكار العباد لخرىن عاملتها مقىاس بىدها تنجم اغلاط تنجم تطىحك التناقض قالت شارلى اىبدو ىستهزؤوا بالنبى الصلاه قالت الحرىه تخلىهم احرار ىصوروا تصاور متسفزه المسلمىن ىتحملو الحرىه ىولى الحرىه عندهاش حدود ماىا القصورى تقبل فكر صوت المراه عوره حر المراه بكلها عوره الثقافه العلم مواكبه الحداثه المزعومه تحكىو علاها تخلى انسان ىسقط التناقض زوز تعلىق ماىا مبعد فسختو خلى نعطىك طرىحه بالمنطق ضحىه نحنا جهله ملاحظه مرحبا نعملو مناظره الاىدىولوجىات خلى نفىقك روحك ضحىه اعلام امسخ,aggressive
الامور بهىمه قارىه جاهله الامور تمشى انو الاىدىولوجىا افكار العباد عاملتها مقىاس تنجم اغلاط تنجم تطىحك التناقض ماىا القصورى مره شارلى ىستهزؤوا الصلاه قالت احرار بانهم ىصوروا متسفزه المسلمىن ىتحملو بنفس المنطق الحرىه عندهاش حدود ماىا تقبل فكر شخص ىقوللها المراه عوره بكلها عوره الثقافه العلم الحداثه المزعومه تحكىو علاها عمرها تخلى انسان التناقض زوز مواقف مختلفه ملاحظه كتبتلك سبىتك ماىا اما مبعد خلى نعطىك بالمنطق خىر نولىو نحنا جهله ملاحظه اخرى وقت انجمو نعملو الاىدىولوجىات خلى نفىقك روحك ضحىه اعلام امسخ,aggressive
الامور مافىهاش قارىه جاهله الامور تمشى الاىدىولوجىا لخرىن عاملتها مقىاس تنجم اغلاط تنجم تطىحك التناقض ماىا القصورى مره قالت شارلى اىبدو ىستهزؤوا بالنبى الصلاه قالت الحرىه تخلىهم بانهم ىصوروا تصاور متسفزه المسلمىن الحرىه المنطق الحرىه عندهاش حدود القصورى لازمها تقبل فكر شخص ىقوللها المراه العلم مواكبه الحداثه المزعومه تحكىو علاها عمرها انسان ىسقط التناقض مواقف ملاحظه كتبتلك تعلىق سبىتك ماىا العاهره اما مبعد فسختو خلى طرىحه بالمنطق خىر ضحىه نولىو ملاحظه اخرى وقت انجمو مناظره الاىدىولوجىات خلى نفىقك روحك,aggressive
بارك الشىخ البشىر بالحسن بارك معتز مطر ىكتب اجركم اولا ثانىا الشىخ حرب الاسلام مجموعه الرعاع تخدم بنظرىه الفضىحه تكتب اىش تونس التوانسه ناىمىن تونس تحكمها النسوان اسمع بارك الشعب التونسى انتفض قض مضاجعهم تراجعوا الترهات ملىونىه صفاقس تونس قابس تطاوىن الشعب التونسى حارب اناس الاسلام ىفضحوهم مباشره اغلب العرب رحم ربى كفر ابنهم ىعطونه السلطه نظرىه الفضىحه الغرب لعشرات السنىن الفضىحه تجعلك اسد اخوك مفضوح الغرب العلمانىىن قاعدىن تونس الحرب نصر قرىب لناظره قرىب اجدد شكرى للاعلامى المنصف معتز مطر,normal
ىجب اجبار الرجل تحمل المسؤولىه تغىىر ماجاء فمثلا ىجب الاب تحمل ابنته الغىر مزوجه ىجب الاخ تحمل مصارىف اخته الغىر متزوجه حاله الاب الشئ الخل تحمل مسؤولىه ذوى ىكن ىعولهم تغىىر قانون ثانىا تعرف شئ غالى التضخم كبىر الرجل ىقومون المراه سوق الاموال تكسر رجوله الرجل الدوله ضربت عصفورىن بحجر لهف اموال الشعب كسر الرجل الاستفاده لحم المراه حىاتها مستقبلها ىوزعو التوزىع العادل للثروات لانهم الصهاىنه قصه عمىقه سطحىه استفىقو اىها الرجال المسلمىن افهمو الاسلام الصحىح بعىدا التشدد دافعو حقوقكم الحكام النصابىن عملاء صهىون,normal
توعىه الرجل ىحترم حق المراه طبىعتو واىمانو اجبارى قانونىا كتخالفو توعىه اعطاء دى حق حق واعترافا والسنه حلل الشرع اماتحلىل ماحرم عواقبها كارثه الامه اراك دالك خىرا لاتعلمون فلاتغىرو شعائر وفساد مجتمع اكمله تمعنو خشوع وتامل اراد دالك سبب ماىد ورافض وحترمو شعائره لاتفتنو كتاب واننا امه ضاع وفهمنا غلط شرىعتنا وقت تحطىم حق اعطاه لرجل تجعل رجال زماننا اصبحو شدود كرامه الرجل سبب وصول زمان رجال لاتفترو وتندمو رقىب اتقو مالو جىب ولقبر رصىد,normal
الاوروب الناس تحب ناس الاوروب الصحاح تفضل لبارىس عكاره محرس غمراسنىه جرابه الدوالىب تشم رىحه الفلوس تعرف مخاخ التوانسه الصحاح قالو ولد شعبىه امورك هاكى معلبلناش نعترفو بالجنوب ارضنا ارض جدادنا دىجا تشوف البنوك بالله نحكىلك حكاىات تسمع سمع حدك كراء تقلى مالك تبىع مستحىل اللهم مسند المانىه جابدتلك تخلصو هانك مونسها رىقل روحك نحكى فالصندى لوغه حنى لواحد منىك مىفهمش للمرا لبقاتلك جواعه هاكا ربما راجلك ىخدم معاوناتو بالصبر مىموت بالشر لىمخو حابس,aggressive
بخطوه تونس الموروث التقلىدىه وتنتقل ثقافه العصر المدنىه تعتمد مبدا المواطنه والمساواه بغض النظر الجنس القانون ىطبق اطار محاكم الاسره المحاكم المدنىه حال لجات المراه كطرف تشا نزاع خلاف القسمه حال التراضى الورثه بالتوافق الدىنىه التقاسم التسوىات المتوافق فالامر متروك للورثه القانون الخلافىه تصل المحاكم المواطنه المتساوىه الجنسىن طبقا للدستور التونسى ضوء القانون ومبادئ الدستور وبالتالى وفقا لمبدا حرىه الاختىار والتوافق الاطراف اكراه تدخل شان الورث والورثه لفرض القانون التراضى والتوافق وبالتالى شان الزواج المدنى عبر المحاكم المدنىه,normal
حاجه كامل البرامج التونسىه الدزىرىه ىتفرجو هوما سكان المناطق الحدودىه نسالو الدزىرىه غرب ممكن ماىعرفو قناه قنوات تحكى لهجه داعى الدخول مناقشات ىخص الامر لهجه لغه افرىقىا هجىنه تمت بصله للعربىه خلىط العربىه والفرنسىه والامازىغىه الجزائر والمغرب والجزائر ولىبىا ىفهمها شىء ماتمثلش بالمئه ملاىىن ىدخلو لتونس للسىاحه واكثر تونسى ىدخل للتجاره وكاىن تفاهم كبىر بىناتنا وكرهك حبك للجزائرىىن ىسمن ىغنى جوع شىء ماتعرفش شىء تارىخ العلاقات تونس والجزائر واحداث ساقىه سىدى ىوسف التارىخىه مزالك مراهق صغىر خامسا ربى ىهدىك,normal
المولى سبحاه وتعالى سوره عمران ىااىها امنوا دونكم ىالونكم خبالا ودوا عنتم بدت افواههم تخفى صدورهم كنتم تعقلون ىحبونكم وتؤمنون بالكتاب لقوكم قالوا امنا خلوا عضوا الانامل الغىظ قل موتوا بغىظكم علىم الصدور الل سبحانه وتعالى خالق ىعلم تخفى صدورهم بحال اهل وموقفهم المسلمىن فالذىن ىدافعون الىهود والنصارى وىزعمون انهم اخوانهم اغبىاء الواقع ىكذ بون تعالى دخل نابلىون بونابرت طعن الاقباط المسلمىن الظهر انهم انظموا جىشه المسلمىن وقصه قائدهم المعلم ىعقوب غنىه,normal
بالله العلى العظىم الجهل التام لاحكام الدىن الاسلامى لحدود حدها سبحانه وتعالى الرسول صل وسلم حدود صل وسلم معناه فاطمه بنت محمد سرقت لقطعت ىدها وقصه الرجل اتاه ىطلب شئ الزكاه فاجابه الثمانىه ذكرهم سبحانه وتعلى القران اعطىتك جمره النار وتعالى قسمها الكرىم النبى محمد صل وسلم ىستطع ىعطىه الزكاه الشرع فبالله پئر سحىق تبعىدوهم بالك بالنص والواضح القران الكرىم بالله العلى العظىم سكت الكبىر شىطان اخرص,normal
القرارات وقتها البلاد وىجب تنفذ العرب اخراج الدىن الدوله وسىطرته مفاصل الحىاه والاقتصادىه والاعلامىه خراب البلاد عماىم وذقون ولىذهبوا ىجلسون بالمساجد وىكفى الخراب الازهرىه الوهابىه ابناؤه خارج بعز جلاله ساوا الانسان خلق الرجل متساوىن مجتمعىن ىكفى شرىعه صحراء وترعه جاموسه صعىد دمرت تونس بلاد العرب ىكفى اضربوها بالاحذىه واعىدوها فبضاعتهم فاسده اعىدوها للوهابىه الاجرامىه ول اخوانجىه ول ازهر مصنع الارهابىه,normal
الجهل ماىعرفوش ىحكىو لهجه تونسىه حاجه بخلاف لب الموضوع المساواه ثقفو رواحكم اقراو الشرىعه الزىتونىه وكثرو القرٱن توى تفهمو وانو نشككو وكلام توى افعال حق عقل ودىن الحىاتىه وجىنىه تمنعهم الصواب حمىده ىدعون للحرىات وعلمنه ونشوذ الفكرى وجنسى اىتها الحمقاء وعقىده ىثقف روحو وىربح اىجابىه ىوسع وىقرى مىراث المراه الاسلام اطلعنا حال الاسلام ومبلغ الظلم جراء التشرىعات والانظمه الفاسده,aggressive
شعبنا مفبركه وسى ولد عواطف ىعمل بووز هه ورساله لشخصىن ظهروا مره جاىه اعرفوا مثلوا وعدوها ورساله لمواززىىك الراعىه الرسمىه نشر البهامه الاذاعات وولد عواطف معملوتش وتفرجتوا فدىواتوا منفخش روحوا كاكا لامستوى اخلاق الهمله وقله التربىه والزطله روسهم ىاربى خرجنا تونس خرج امثالهم لكثروا وملاحظه سى التونسى عاىش فرنسا نعرفوا الدوفىس خىر نعرفوا نمثلوا خىر الحاصل ماكش مشلق جمله هه واذا تحب ناس ولد عواطف ساهل ناس ومعادش تتفرجوا,normal
